ClusterID	AlignBLK	Alignment_length	genome_pos_mel	genome_pos_yak	genome_pos_pse	genome_pos_vir	length_mel	length_yak	length_pse	length_vir	mappability_mel	mappability_yak	mappability_pse	mappability_vir	ChIP_mel	ChIP_yak	ChIP_pse	ChIP_vir	norm_ChIP_mel	norm_ChIP_yak	norm_ChIP_pse	norm_ChIP_vir	pred_ChIP_mel	pred_ChIP_yak	pred_ChIP_pse	pred_ChIP_vir
71	24	261	chr3R:608103-608363	chr3R:925290-925550	chr2:22185003-22185263	scaffold_12855:8356040-8356300	261	261	261	261	100	100	100	100	38.12	52.54	22.04	71.98	0.015	-0.126	-0.271	0.322	0.022	0.0175	0.0024	0.0336
76	26	1272	chr3R:671804-672512	chr3R:993880-994592	chr2:22122729-22123537	scaffold_12855:8424100-8425100	709	713	809	1001	100	100	100	100	71.83	91.07	33.65	94.32	0.648	0.425	0.152	0.593	1.1325	1.7699	1.0849	1.4108
77	26	2332	chr3R:674480-675810	chr3R:996764-998102	chr2:22119301-22120525	scaffold_12855:8428465-8429985	1331	1339	1225	1521	100	100	100	94.079	153.82	140.11	67.46	44.68	1.41	0.855	0.847	-0.155	3.4467	1.9935	1.8136	0.4739
97	28	770	chr3R:847270-847760	chr3R:1188170-1188629	chr2:21960373-21960941	scaffold_12855:8032565-8032955	491	460	569	391	100	100	100	94.872	46.36	38.53	60.17	42.19	0.21	-0.436	0.733	-0.212	1.0807	1.4599	0.8072	0.4793
108	28	2290	chr3R:915140-916578	chr3R:1260606-1262150	chr2:21899322-21900601	scaffold_12855:7973229-7974387	1439	1545	1280	1159	100	100	100	100	128.77	112.09	104.43	79.43	1.232	0.632	1.284	0.421	2.3609	2.6772	1.273	1.8124
123	31	1341	chr3R:1083754-1084510	chr3R:1457550-1458289	chr2:21702460-21702973	scaffold_12855:7823468-7824071	757	740	514	604	100	100	100	100	46.56	112.09	50.51	37.23	0.214	0.632	0.558	-0.337	1.1454	1.6368	0.1096	0.0895
124	31	558	chr3R:1092836-1093353	chr3R:1465230-1465747	chr2:21695180-21695710	scaffold_12855:7817861-7818380	518	518	531	520	100	100	100	100	44.93	49.04	62.2	37.23	0.179	-0.195	0.766	-0.337	0.9164	1.6257	2.0819	0.2326
132	32	758	chr3R:1193356-1193707	chr3R:1580920-1581220	chr2:21588718-21589366	scaffold_12855:9946623-9946926	352	301	649	304	100	100	100	100	38.31	80.56	24.19	19.86	0.019	0.302	-0.178	-0.966	0.3907	0.2527	0.115	0.0152
137	34	580	chr3R:1302290-1302743	chr3R:1709181-1709631	chr2:21299251-21299731	scaffold_13047:16740060-16740490	454	451	481	431	100	100	100	100	36.26	45.54	27.96	91.84	-0.036	-0.269	-0.033	0.566	0.0988	0.6827	0.0588	0.6829
140	34	513	chr3R:1314080-1314550	chr3R:1721130-1721602	chr2:21286540-21286932	scaffold_13047:16727839-16728189	471	473	393	351	100	100	100	100	42.28	91.07	47.37	24.82	0.118	0.425	0.494	-0.742	0.1211	0.4467	1.1982	0.1491
150	34	442	chr3R:1360703-1361103	chr3R:1773570-1773970	chr2:21236489-21236898	scaffold_13047:16675698-16676131	401	401	410	434	100	100	100	100	33.98	91.07	25.81	27.3	-0.101	0.425	-0.113	-0.647	0.249	0.0053	0.0115	0.0092
157	40	201	chr3R:1427984-1428184	chr3R:17392808-17393008	chr2:17293343-17293543	scaffold_12855:8270800-8271000	201	201	201	201	100	100	100	100	25.22	45.54	21.84	71.98	-0.399	-0.269	-0.28	0.322	0.0218	0.0116	0.0215	0.0052
161	40	1408	chr3R:1450170-1451350	chr3R:17414687-17415878	chr2:17316904-17318054	scaffold_12855:8293501-8294700	1181	1192	1151	1200	100	100	82.609	100	53.07	24.52	30.62	74.46	0.345	-0.888	0.058	0.356	1.5319	0.6895	0.5046	0.6545
165	42	326	chr3R:1492711-1493025	chr3R:17460071-17460317	chr2:17331207-17331464	scaffold_13047:6508840-6509080	315	247	258	241	100	100	100	100	19.41	24.52	27.28	67.02	-0.661	-0.888	-0.058	0.251	0.0021	0.0067	0.0524	0.0038
166	42	880	chr3R:1497660-1498280	chr3R:17464755-17465382	chr2:17336008-17336511	scaffold_13047:6514070-6514384	621	628	504	315	100	100	100	100	80.79	101.58	27.53	9.93	0.766	0.534	-0.049	-1.659	1.2521	0.8284	0.116	0.0897
167	42	231	chr3R:1498390-1498491	chr3R:17465735-17465853	chr2:17336537-17336656	scaffold_13047:6514450-6514670	102	119	120	221	100	100	100	100	26.59	70.06	27.58	79.43	-0.346	0.162	-0.047	0.421	0.0029	0.0013	0.0306	0.4988
174	42	428	chr3R:1548942-1549332	chr3R:17513020-17513400	chr2:17387783-17388111	scaffold_13047:6575373-6575666	391	381	329	294	100	100	100	100	50.82	84.07	42.71	12.41	0.302	0.344	0.39	-1.436	1.2605	1.5837	0.8517	1.0822
177	42	937	chr3R:1556604-1557261	chr3R:17519970-17520580	chr2:17394434-17395132	scaffold_13047:6583170-6583914	658	611	699	745	100	100	100	100	45.88	84.07	33.65	27.3	0.2	0.344	0.152	-0.647	0.5024	1.1865	0.3703	0.4547
179	44	1019	chr3R:1595232-1595829	chr3R:17549690-17550190	chr2:17424121-17424838	scaffold_13047:5244563-5244971	598	501	718	409	100	100	100	100	29.07	91.07	18.17	14.89	-0.257	0.425	-0.464	-1.253	0.0088	0.0735	0.1507	0.0301
182	45	1792	chr3R:1620373-1620980	chr3R:17573475-17573895	chr2:12366253-12367486	scaffold_13047:13875285-13876388	608	421	1234	1104	100	100	100	100	73.44	38.53	26.39	47.16	0.67	-0.436	-0.091	-0.101	0.5743	0.3542	0.5435	1.6726
183	45	613	chr3R:1621150-1621730	chr3R:17574065-17574651	chr2:12365501-12366080	scaffold_13047:13876551-13877129	581	587	580	579	100	100	100	100	70.4	35.03	30.57	32.27	0.628	-0.531	0.056	-0.48	1.6293	1.6602	0.388	0.9686
217	53	732	chr3R:1912619-1913147	chr3R:17856534-17857050	chr2:15890719-15891097	scaffold_12822:1987360-1987620	529	517	379	261	100	100	100	100	32.04	42.03	21	96.8	-0.159	-0.349	-0.319	0.619	0.0285	0.1678	0.5839	2e-04
219	53	306	chr3R:1920558-1920831	chr3R:17864571-17864874	chr2:15884066-15884291	scaffold_12822:1979070-1979300	274	304	226	231	100	100	100	100	28.39	59.55	23.79	71.98	-0.28	0	-0.195	0.322	0.0068	0.0096	0.0034	0.0038
221	53	885	chr3R:1928910-1929540	chr3R:17872578-17873200	chr2:15874529-15875266	scaffold_12822:1967207-1967732	631	623	738	526	100	100	100	100	97.13	45.54	24.44	14.89	0.95	-0.269	-0.168	-1.253	0.929	0.3862	0.0407	0.3585
231	53	768	chr3R:2031143-2031454	chr3R:17956970-17957280	chr2:15795973-15796249	scaffold_12822:1848884-1849597	312	311	277	714	100	100	100	100	37.26	87.57	29.2	67.02	-0.00799999999999999	0.385	0.01	0.251	0.5092	0.6177	0.4464	0.6923
232	53	1228	chr3R:2040354-2040798	chr3R:17966030-17966430	chr2:15786600-15787112	scaffold_12822:1838669-1839525	445	401	513	857	100	100	100	97.674	25.91	87.57	20.77	44.68	-0.372	0.385	-0.33	-0.155	0.2183	0.0057	0.5095	1.0366
239	53	252	chr3R:2107617-2107747	chr3R:18033620-18033742	chr2:15722065-15722239	scaffold_12822:1755270-1755460	131	123	175	191	100	100	100	100	24.3	52.54	15.33	67.02	-0.436	-0.126	-0.634	0.251	0.0184	0.0506	0.001	0.0069
245	57	1104	chr3R:2177144-2177760	chr3R:18102910-18103515	chr2:20215308-20216132	scaffold_13047:17324595-17325383	617	606	825	789	100	100	100	100	50.41	94.57	28.16	14.89	0.294	0.462	-0.026	-1.253	2.0629	2.0401	0.7219	0.4715
246	57	443	chr3R:2187720-2188150	chr3R:18113240-18113671	chr2:20204993-20205425	scaffold_13047:17345560-17345991	431	432	433	432	100	100	100	100	58.02	59.55	28.85	12.41	0.435	0	-0.002	-1.436	1.2756	1.2579	0.5399	0.7651
247	57	199	chr3R:2192861-2193026	chr3R:18117724-18117889	chr2:20200715-20200907	scaffold_13047:17350170-17350350	166	166	193	181	100	100	100	100	31.55	35.03	18.07	67.02	-0.175	-0.531	-0.47	0.251	0.4933	0.1049	0.2446	0.2938
252	59	836	chr3R:2233207-2233557	chr3R:18156180-18156540	chr2:20154030-20154696	scaffold_13047:17392760-17393072	351	361	667	313	100	100	100	100	25.35	80.56	18.85	9.93	-0.394	0.302	-0.427	-1.659	0.512	1.3028	0.2448	0.0107
258	59	273	chr3R:2278901-2279067	chr3R:18199466-18199632	chr2:20101725-20101942	scaffold_13047:17442050-17442270	167	167	218	221	100	100	100	100	40.79	21.02	18.22	71.98	0.082	-1.042	-0.462	0.322	6e-04	4e-04	0.0011	0.0306
277	62	744	chr3R:2488934-2489520	chr3R:7926535-7927130	chr2:19885024-19885507	scaffold_13047:6279920-6280396	587	596	484	477	100	100	100	100	100.04	133.11	35.91	29.78	0.979	0.804	0.217	-0.56	2.2423	2.0369	1.7045	1.4215
280	62	247	chr3R:2507728-2507875	chr3R:7906992-7907137	chr2:19867514-19867706	scaffold_13047:6259270-6259460	148	146	193	191	100	100	100	100	36.21	35.03	19.43	71.98	-0.037	-0.531	-0.397	0.322	0.0805	0.1734	0.0777	0.0923
291	64	2850	chr3R:2578930-2580780	chr3R:7834136-7836006	chr2:19795089-19797418	scaffold_13047:6168362-6170486	1851	1871	2330	2125	100	100	100	100	164.16	105.08	60.68	52.12	1.475	0.568	0.742	0	2.2278	2.9706	2.6064	1.0345
292	64	891	chr3R:2580959-2581550	chr3R:7833309-7833897	chr2:19794516-19795050	scaffold_13047:6167627-6168242	592	589	535	616	100	100	100	100	86.83	115.59	48.26	19.86	0.838	0.663	0.512	-0.966	2.1467	1.3609	1.2567	0.2186
299	65	166	chr3R:2618046-2618189	chr3R:7795135-7795278	chr2:19752756-19752921	scaffold_13047:6108307-6108450	144	144	166	144	100	100	100	100	28.94	35.03	19.59	71.98	-0.261	-0.531	-0.389	0.322	0.0052	0.0069	0.3866	0.0124
303	66	2380	chr3R:2635600-2636780	chr3R:7776528-7777703	chr2:19737685-19739125	scaffold_13047:6090192-6091850	1181	1176	1441	1659	100	100	100	100	152.51	182.14	124.02	34.75	1.401	1.118	1.456	-0.406	2.7524	3.2039	3.1496	6.002
307	66	988	chr3R:2671200-2671810	chr3R:7741115-7741736	chr2:19698206-19698934	scaffold_13047:6053806-6054603	611	622	729	798	100	100	100	100	67.38	45.54	34.39	14.89	0.584	-0.269	0.174	-1.253	0.1239	0.1267	0.0541	0.044
308	66	1060	chr3R:2673578-2674210	chr3R:7738727-7739350	chr2:19695502-19696291	scaffold_13047:6050028-6050856	633	624	790	829	100	100	100	100	107.84	122.6	89.1	47.16	1.054	0.722	1.126	-0.101	1.5599	0.9607	1.8542	1.926
315	67	1282	chr3R:2689506-2690370	chr3R:7722140-7723056	chr2:19679539-19680669	scaffold_13047:6033099-6034140	865	917	1131	1042	100	100	100	100	82.3	66.55	35.6	27.3	0.784	0.111	0.208	-0.647	0.231	0.2301	0.1298	0.2071
316	68	2704	chr3R:2693650-2694749	chr3R:7717301-7718660	chr2:19675640-19676609	scaffold_13047:6024871-6026432	1100	1360	970	1562	100	100	100	100	237.61	276.72	98.33	47.16	1.844	1.536	1.224	-0.101	3.9444	4.318	3.9589	2.5153
318	68	1075	chr3R:2710910-2711480	chr3R:7699711-7700283	chr2:19660414-19661017	scaffold_13047:6006707-6007472	571	573	604	766	100	100	100	100	47.72	119.09	55.59	52.12	0.239	0.693	0.654	0	0.4836	0.4858	0.484	0.934
320	68	1060	chr3R:2718849-2719600	chr3R:7691503-7692285	chr2:19650907-19651770	scaffold_13047:5997228-5997824	752	783	864	597	100	100	100	100	48.04	77.06	53.49	24.82	0.246	0.257	0.615	-0.742	0.0401	0.1507	0.1612	0.8185
321	68	1653	chr3R:2732900-2733684	chr3R:7677570-7678329	chr2:19634449-19635361	scaffold_13047:5980318-5981638	785	760	913	1321	100	100	100	100	70.47	94.57	53.14	89.35	0.629	0.462	0.609	0.539	1.8908	1.4727	2.0691	2.0719
322	68	1139	chr3R:2738500-2739065	chr3R:7672320-7672883	chr2:19629174-19629889	scaffold_13047:5975291-5976131	566	564	716	841	100	100	100	100	72.28	84.07	27.28	44.68	0.654	0.344	-0.058	-0.155	0.307	0.8278	0.5856	1.5016
349	71	1526	chr3R:2931010-2931790	chr3R:7431641-7432391	chr2:26341950-26342629	scaffold_13047:16778348-16779361	781	751	680	1014	100	100	100	100	59.06	91.07	22.82	37.23	0.452	0.425	-0.236	-0.337	0.96	0.6815	1.16	1.1167
352	74	795	chr3R:2987471-2988129	chr3R:7352752-7353356	chr2:26398323-26398641	scaffold_13047:16836420-16836640	659	605	319	221	100	100	100	100	34.89	35.03	18.02	74.46	-0.074	-0.531	-0.473	0.356	1.6952	1.2366	0.4836	1.1228
353	74	301	chr3R:2988288-2988456	chr3R:7352424-7352597	chr2:26398820-26399070	scaffold_13047:16836750-16836897	169	174	251	148	100	100	100	100	37.32	42.03	60.5	12.41	-0.00699999999999999	-0.349	0.739	-1.436	6e-04	0.001	0.5471	0.1179
383	89	257	chr3R:3350924-3351174	chr3R:6965364-6965614	chr2:26745262-26745512	scaffold_12855:6249840-6250090	251	251	251	251	100	100	100	100	39.79	49.04	21.21	67.02	0.057	-0.195	-0.31	0.251	0.0073	0.0026	1.0387	0.0299
389	93	582	chr3R:3462625-3463015	chr3R:6859900-6860290	chr2:26882007-26882393	scaffold_12855:6385163-6385657	391	391	387	495	100	100	100	100	33.42	84.07	26.8	17.37	-0.117	0.344	-0.076	-1.099	1.1937	0.9868	0.7783	1.2301
399	95	431	chr3R:3670199-3670571	chr3R:6620238-6620628	chr2:27077644-27077928	scaffold_12855:6600930-6601230	373	391	285	301	100	100	100	100	39.11	31.52	21.36	89.35	0.04	-0.636	-0.303	0.539	0.9173	0.3093	0.0095	0.6247
404	96	241	chr3R:3724652-3724892	chr3R:6553394-6553634	chr2:27129368-27129608	scaffold_13047:19148260-19148500	241	241	241	241	100	100	100	100	45.62	49.04	16.6	69.5	0.194	-0.195	-0.555	0.287	0.0217	0.0172	0.1356	0.4194
413	102	1106	chr3R:3804130-3804472	chr3R:6469880-6470220	chr2:16977402-16977811	scaffold_12855:8084356-8085276	343	341	410	921	100	100	100	100	33.17	80.56	28.7	17.37	-0.125	0.302	-0.00699999999999999	-1.099	0.3909	0.0482	0.0259	0.591
428	105	796	chr3R:3926200-3926980	chr3R:7999339-8000112	chr2:6369373-6370144	scaffold_13047:9945250-9945997	781	774	772	748	100	100	100	100	78.65	49.04	36.64	24.82	0.739	-0.195	0.237	-0.742	1.5231	1.3876	0.7383	1.354
439	106	274	chr3R:3994059-3994278	chr3R:8067103-8067334	chr2:13075642-13075863	scaffold_13047:10016750-10016940	220	232	222	191	100	100	100	100	28.15	31.52	18.75	99.28	-0.289	-0.636	-0.433	0.644	0.0016	0.0013	0.0246	0.0023
441	106	1331	chr3R:4007050-4007830	chr3R:8080418-8081231	chr2:13061436-13062426	scaffold_13047:10033312-10034384	781	814	991	1073	100	100	100	99.065	59.31	70.06	55.75	32.27	0.457	0.162	0.657	-0.48	0.3865	0.3721	0.2597	0.3794
442	106	706	chr3R:4024640-4025080	chr3R:8098862-8099276	chr2:13043782-13044254	scaffold_13047:10051311-10051822	441	415	473	512	100	100	100	100	66.08	56.04	31.83	22.34	0.565	-0.0610000000000001	0.096	-0.848	0.0944	1.047	0.6418	0.0282
443	106	2337	chr3R:4028580-4029742	chr3R:8102847-8103980	chr2:13038665-13039960	scaffold_13047:10056676-10058680	1163	1134	1296	2005	100	100	100	100	73.39	98.08	57.92	29.78	0.669	0.499	0.695	-0.56	3.6611	4.1038	4.6594	4.4804
444	106	1642	chr3R:4030920-4031690	chr3R:8105286-8106124	chr2:13036379-13037251	scaffold_13047:10059340-10060710	771	839	873	1371	100	100	100	100	86.96	108.59	49.32	34.75	0.839	0.6	0.534	-0.406	0.3394	0.5358	0.3906	1.1617
455	111	2174	chr3R:4102410-4104030	chr3R:8177340-8178974	chr2:14624782-14626654	scaffold_12855:996527-998362	1621	1635	1873	1836	100	100	100	100	153.57	147.12	64.07	52.12	1.408	0.904	0.796	0	2.6749	3.5032	1.8056	2.6017
477	118	744	chr3R:4239534-4240157	chr3R:8309508-8310086	chr2:23196870-23197256	scaffold_13047:7360218-7360610	624	579	387	393	100	100	100	100	35.28	45.54	36.16	74.46	-0.063	-0.269	0.224	0.356	0.0985	0.3806	0.4987	0.283
483	118	1406	chr3R:4293430-4294220	chr3R:8364942-8365759	chr2:23253677-23254461	scaffold_13047:7431988-7432894	791	818	785	907	100	100	100	100	88.56	59.55	25.08	52.12	0.857	0	-0.142	0	0.4956	0.4038	0.2434	0.1283
491	118	1060	chr3R:4323989-4324533	chr3R:8396275-8396853	chr2:23292156-23292857	scaffold_13047:7476980-7477220	545	579	702	241	100	100	100	100	30.68	52.54	25.81	67.02	-0.203	-0.126	-0.113	0.251	0.4287	0.1773	0.7103	0.0296
493	118	193	chr3R:4330039-4330185	chr3R:8402470-8402622	chr2:23298831-23298986	scaffold_13047:7484930-7485100	147	153	156	171	100	100	100	100	21.76	17.51	25.33	67.02	-0.546	-1.224	-0.132	0.251	0.8687	0.8687	0.0244	0.0103
497	118	261	chr3R:4350942-4351202	chr3R:8423547-8423807	chr2:23320403-23320663	scaffold_13047:7503480-7503740	261	261	261	261	100	100	100	100	32.61	70.06	33.45	69.5	-0.142	0.162	0.146	0.287	0.0831	0.1283	0.0596	0.1703
509	119	914	chr3R:4460429-4460773	chr3R:8522688-8523519	chr2:17230083-17230356	scaffold_12855:8192090-8192530	345	832	274	441	100	95.181	100	100	36.25	63.05	26.49	126.58	-0.036	0.0569999999999999	-0.087	0.887	0.0178	0.1875	0.2874	1.3673
512	119	191	chr3R:4469789-4469904	chr3R:8532333-8532448	chr2:17221687-17221812	scaffold_12855:8182560-8182750	116	116	126	191	100	100	100	100	28.59	17.51	25.51	67.02	-0.273	-1.224	-0.125	0.251	2e-04	2e-04	1e-04	0.1435
518	119	237	chr3R:4487661-4487882	chr3R:8550554-8550775	chr2:17202521-17202739	scaffold_12855:8160400-8160630	222	222	219	231	100	100	100	100	26.03	45.54	20.8	101.76	-0.367	-0.269	-0.329	0.669	0.3726	0.3745	0.0038	0.0014
526	123	1006	chr3R:4513970-4514610	chr3R:8576970-8577602	chr2:27164964-27165764	scaffold_13047:17064375-17065093	641	633	801	719	100	100	100	100	57.88	84.07	27.28	44.68	0.432	0.344	-0.058	-0.155	1.0364	0.9956	1.5205	1.3764
527	123	2850	chr3R:4519500-4520860	chr3R:8582461-8583896	chr2:27170829-27172724	scaffold_13047:17056693-17058773	1361	1436	1896	2081	100	100	100	100	375.95	423.84	238.32	124.1	2.303	1.962	2.11	0.867	4.009	3.905	6.2111	4.7968
528	123	2253	chr3R:4524615-4525820	chr3R:8587670-8588861	chr2:27177638-27178902	scaffold_13047:17050911-17052641	1206	1192	1265	1731	100	100	100	100	621.39	641.01	307.27	121.62	2.806	2.376	2.364	0.847	5.2818	5.9051	6.0184	6.2909
529	123	2029	chr3R:4526220-4527350	chr3R:8589245-8590776	chr2:27179225-27180521	scaffold_13047:17049553-17050804	1131	1532	1297	1252	100	84.967	100	100	85.34	59.55	48.1	34.75	0.82	0	0.509	-0.406	1.8194	2.2579	1.2469	1.1022
531	123	232	chr3R:4553770-4553944	chr3R:8614945-8615116	chr2:27202640-27202820	scaffold_13047:17013882-17014032	175	172	181	151	100	100	100	100	19.4	45.54	58.23	12.41	-0.661	-0.269	0.7	-1.436	0.3751	0.373	8e-04	0.0253
533	123	2064	chr3R:4573326-4573814	chr3R:8634390-8634960	chr2:27220974-27222584	scaffold_13047:16988587-16989214	489	571	1611	628	100	100	95.652	100	38.62	105.08	17.43	7.45	0.027	0.568	-0.506	-1.946	0.4029	1.1284	1.32	0.0899
541	126	895	chr3R:4607180-4607989	chr3R:8668541-8669356	chr2:27263296-27263516	scaffold_13047:1873200-1873483	810	816	221	284	100	100	100	100	54.36	77.06	17.59	67.02	0.369	0.257	-0.497	0.251	1.2521	2.3292	0.0021	0.0488
544	126	181	chr3R:4630699-4630866	chr3R:8692606-8692774	chr2:27286163-27286332	scaffold_13047:1846220-1846390	168	169	170	171	100	100	100	100	28.34	28.02	22.88	89.35	-0.282	-0.754	-0.234	0.539	0.044	0.1026	0.0333	0.0604
545	126	1072	chr3R:4634138-4634797	chr3R:8696094-8696710	chr2:27289510-27289982	scaffold_13047:1840479-1841139	660	617	473	661	100	100	100	100	26.65	91.07	43.75	39.71	-0.344	0.425	0.414	-0.272	0.2126	0.3583	0.1453	0.6921
547	127	306	chr3R:4665642-4665944	chr3R:8727820-8728122	chr2:23115282-23115578	scaffold_13047:3068130-3068420	303	303	297	291	100	100	100	100	25.3	28.02	22.77	67.02	-0.396	-0.754	-0.238	0.251	0.0102	0.0132	0.0297	0.1753
549	127	1364	chr3R:4667200-4668070	chr3R:8729444-8730286	chr2:23112651-23113499	scaffold_13047:3070538-3071379	871	843	849	842	100	100	100	100	57.28	59.55	47.42	24.82	0.422	0	0.495	-0.742	1.5359	1.3683	1.5048	0.4732
551	127	973	chr3R:4671840-4672422	chr3R:8734167-8734790	chr2:23107257-23107839	scaffold_13047:3076118-3076814	583	624	583	697	100	100	100	100	60.74	115.59	30.31	17.37	0.48	0.663	0.048	-1.099	0.8059	0.8028	0.0404	0.0195
554	127	247	chr3R:4691092-4691319	chr3R:8754650-8754877	chr2:23081793-23081999	scaffold_13047:3099400-3099640	228	228	207	241	100	100	100	100	17.68	24.52	23.91	67.02	-0.754	-0.888	-0.19	0.251	0.09	0.3419	0.0111	0.0049
557	127	1095	chr3R:4752866-4753299	chr3R:8796810-8797240	chr2:23014071-23014992	scaffold_13047:3160618-3161192	434	431	922	575	100	100	100	100	28.89	84.07	47.12	24.82	-0.263	0.344	0.489	-0.742	0.0039	0.0024	0.6828	0.1199
558	127	807	chr3R:4753678-4754024	chr3R:8797640-8797980	chr2:23013244-23013848	scaffold_13047:3161445-3161788	347	341	605	344	100	100	100	100	39.43	108.59	30.8	9.93	0.048	0.6	0.063	-1.659	1.1046	1.1032	1.0891	0.057
562	128	618	chr3R:4781080-4781560	chr3R:8825417-8825919	chr2:21527011-21527468	scaffold_13047:16874545-16874909	481	503	458	365	100	100	100	100	62.86	108.59	47.37	14.89	0.515	0.6	0.494	-1.253	0.0972	0.4765	0.4537	0.0322
567	128	260	chr3R:4795329-4795513	chr3R:8840428-8840611	chr2:21544745-21544906	scaffold_13047:16890970-16891170	185	184	162	201	100	100	100	100	25.86	24.52	16.5	76.94	-0.374	-0.888	-0.561	0.389	0.3531	0.4515	0.0021	0.0132
568	128	993	chr3R:4801690-4802305	chr3R:8846839-8847440	chr2:21552824-21553434	scaffold_13047:16898240-16899045	616	602	611	806	100	100	100	100	69.8	94.57	22.52	24.82	0.619	0.462	-0.25	-0.742	0.977	0.9733	0.0319	0.0086
569	129	234	chr3R:4809296-4809526	chr3R:8855522-8855755	chr2:21383857-21384077	scaffold_13047:16905760-16905990	231	234	221	231	100	100	100	100	21.02	45.54	18.9	67.02	-0.581	-0.269	-0.425	0.251	0.0079	0.0429	0.5436	0.0534
570	130	570	chr3R:4811601-4812034	chr3R:8857818-8858251	chr2:27376082-27376487	scaffold_12855:5346420-5346950	434	434	406	531	100	100	100	100	28.21	31.52	28.06	79.43	-0.287	-0.636	-0.03	0.421	0.0613	0.0435	0.0413	0.0076
576	132	1586	chr3R:4850433-4851179	chr3R:8896977-8897740	chr2:27330635-27331702	scaffold_12855:5299314-5300210	747	764	1068	897	100	100	100	100	40.72	91.07	29.83	54.61	0.081	0.425	0.032	0.046	1.0678	1.2	1.3376	0.1753
597	138	1830	chr3R:5074480-5075495	chr3R:9127030-9128100	chr2:47463-48560	scaffold_13047:8786044-8786960	1016	1071	1098	917	100	100	100	100	77.6	66.55	43.65	34.75	0.725	0.111	0.412	-0.406	2.4365	2.2227	2.3604	2.6334
600	139	341	chr3R:5091401-5091741	chr3R:9148504-9148844	chr2:67402-67742	scaffold_12855:1210760-1211100	341	341	341	341	100	100	100	100	32.93	45.54	22.62	71.98	-0.132	-0.269	-0.245	0.322	0.0295	0.0142	0.0189	0.0428
601	139	414	chr3R:5092690-5093079	chr3R:9150050-9150440	chr2:69087-69394	scaffold_12855:1212334-1212667	390	391	308	334	100	100	100	100	41.59	105.08	28.64	9.93	0.102	0.568	-0.00899999999999999	-1.659	2.1009	2.0718	0.0228	0.0839
613	141	684	chr3R:5243259-5243582	chr3R:9290300-9290630	chr2:3178454-3178973	scaffold_13047:661319-661704	324	331	520	386	100	100	100	100	35.58	91.07	42.01	39.71	-0.054	0.425	0.374	-0.272	0.4417	0.4381	0.5183	0.3525
